GAME,WEEK,DATE,DAY,AWAY,HOME,LOCAL,ET
114,19,Saturday,8-Apr-23,VAN,COL,7:00 PM,9:00 PM
115,19,Saturday,8-Apr-23,SD,LV,7:30 PM,10:30 PM
116,20,Friday,14-Apr-23,LV,CGY,7:00 PM,9:00 PM
117,20,Friday,14-Apr-23,SD,COL,7:00 PM,9:00 PM
118,20,Saturday,15-Apr-23,GA,ALB,7:00 PM,7:00 PM
119,20,Saturday,15-Apr-23,PHI,TOR,7:00 PM,7:00 PM
120,20,Saturday,15-Apr-23,NY,BUF,7:30 PM,7:30 PM
121,20,Saturday,15-Apr-23,HFX,SAS,7:30 PM,9:30 PM
122,20,Saturday,15-Apr-23,PC,VAN,7:00 PM,10:00 PM
123,21,Friday,21-Apr-23,CGY,PC,7:30 PM,8:30 PM
124,21,Saturday,22-Apr-23,NY,HFX,7:00 PM,6:00 PM
125,21,Saturday,22-Apr-23,GA,ROC,7:00 PM,7:00 PM
126,21,Saturday,22-Apr-23,TOR,BUF,8:00 PM,8:00 PM
127,21,Saturday,22-Apr-23,COL,SAS,7:30 PM,9:30 PM
128,21,Saturday,22-Apr-23,LV,SD,7:00 PM,10:00 PM
129,21,Sunday,23-Apr-23,PHI,ALB,3:00 PM,3:00 PM
130,22,Saturday,29-Apr-23,BUF,ALB,7:00 PM,7:00 PM
131,22,Saturday,29-Apr-23,HFX,GA,7:00 PM,7:00 PM
132,22,Saturday,29-Apr-23,PHI,ROC,7:00 PM,7:00 PM
133,22,Saturday,29-Apr-23,COL,SD,7:00 PM,10:00 PM
134,22,Saturday,29-Apr-23,SAS,LV,7:30 PM,10:30 PM
135,22,Saturday,29-Apr-23,NY,VAN,7:00 PM,10:00 PM
